what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349147658
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349147673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349148783
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349177510
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349189384
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349189399
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349190392
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349206458
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349206473
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349207739
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349213755
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349226179
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349226211
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349227429
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349241067
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349258162
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349258193
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349259451
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349275943
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349286434
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349286450
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349287684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349299231
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349309789
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349309804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349310974
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349316850
executed,command,org.eclipse.jdt.debug.ui,3.5.2.v20100928a_r362,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1431349324858
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349324889
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349326203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349771197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1431349779276
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431349781749
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431349782796
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431349783796
closed,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431349783796
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349812716
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349858365
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1431349891831
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1431349901403
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349911804
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1431349961069
